topic_id,uuid,target_event,option_A,option_B,option_C,option_D,golden_answer,split,tsne_x,tsne_y
21,2450f926-4732-4e81-90be-c858fb1e5660,Doctors at several hospitals pledged to go on strike to protest the coup.,The military detained Aung San Suu Kyi and other top government figures.,The army announced power was handed to commander-in-chief Min Aung Hlaing and declared a national state of emergency for one year.,"Myanmar’s military seized power on February 1, beginning a coup.",The election commission denied widespread voter fraud.,"A,B,C",train,-11.679466,-19.831379
35,582d7d43-c3ae-47cc-bfca-a9e403c8d19c,The chairmen of Credit Suisse and UBS announced a union on March 19th in Bern.,Swiss officials brokered an emergency takeover of Credit Suisse by UBS Group AG.,Credit Suisse's board rebuffed the proposal from UBS.,The Swiss government ordered Credit Suisse to temporarily suspend bonus payments to staff.,UBS agreed to acquire Credit Suisse for 3 billion Swiss francs.,"A,D",train,104.64744,-65.19196
15,8de1512d-f3f4-4424-afac-9b333f4cab78,Sam Altman publicly acknowledged ChatGPT’s limitations in accuracy and truthfulness.,ChatGPT quickly reached one million daily active users.,The reinforcement learning algorithm trained the final version of ChatGPT to produce high-scoring responses.,None of the others are correct causes.,OpenAI trained InstructGPT to produce less toxic text.,C,train,76.91072,48.46121
3,33645b5b-470c-4bc2-b302-4aabe2a25f94,Congress confirmed Biden as president in the early hours of January 7th.,The FBI and ATF cleared the Capitol.,Supporters stormed the U.S. Capitol.,A woman was shot inside the Capitol and died.,The FBI and ATF cleared the Capitol.,"A,B,D",train,15.027122,-4.381243
25,7e52c43d-78c9-4dd8-84a1-6f1a8d16dd19,"On November 24, 2018, ""yellow vest"" protestors blocked the Champs Elysées in Paris, leading to confrontations.","227 people were injured in the protests, with six severely.","On November 17, 2018, approximately 288,000 ""yellow vest"" protestors participated in a national blockade across France.",73 people were taken into police custody during the protests.,"The ""yellow vests"" movement caused roadblocks across France.","B,D",train,-40.577244,3.213766
12,5a235b41-2369-44c8-8732-f9967858c047,Huawei announced a deployment timeline for HarmonyOS on various devices between 2020 and 2022.,HarmonyOS development began in 2017.,Huawei ensured HarmonyOS supports applications developed in multiple programming languages.,None of the others are correct causes.,Huawei released a TV running HarmonyOS.,C,train,112.59239,17.766155
30,9b93801c-235e-4a0b-adf6-e3ffa4e393ef,"Police attacked protesters using stun hand grenades, tear gas, rubber bullets, vehicles, and direct projectile fire.","Widespread protests erupted across the nation, including at Lafayette Square in Washington, D.C.",Derek Chauvin was arrested and charged with murder and manslaughter.,Protesters overtook and destroyed the Minneapolis Police Department’s Third Precinct.,Cup Foods employees call police and report George Floyd used fake bills and was drunk/uncontrolled.,A,train,-39.44693,-12.115595
16,22c81e5c-79c8-496d-a7d3-46ea60b29d8c,Foreign investors purchased a net 15.8 trillion won ($11.6 billion) of South Korean stocks from January through March.,Jensen Huang took Nvidia public on Nasdaq in 1999.,None of the others are correct causes.,"Jensen Huang, Chris Malachowsky, and Curtis Priem founded Nvidia in 1993.","The tech industry increased its focus on A.I., causing a shortage of chips.",B,train,70.71879,-62.28185
15,e3698dc2-c60e-4d0d-9b6d-2e35fe00e61d,"OpenAI released ChatGPT Plus on February 1, 2023, and later introduced GPT-4 Turbo with Vision and GPT-4o to the public.",ChatGPT quickly reached one million daily active users.,Human judges scored the initial model’s responses.,The reinforcement learning algorithm trained the final version of ChatGPT to produce high-scoring responses.,"OpenAI publicly released ChatGPT as a free research preview on November 30, 2022.",D,train,85.70295,34.362038
8,86079fb9-a704-400f-bed7-92e42fc3f410,Myanmar's ruling junta chief reported at least 144 people killed and over 732 injured.,"A M7.7 earthquake struck Myanmar on March 28, 2025, followed by a M6.7 aftershock.","Mandalay General Hospital became full, stopped admitting patients, and lost power and water.",The earthquake caused significant damage and displacement across Myanmar.,"The earthquake affected Bangkok, Thailand, and tremors were felt in China's Yunnan province.","A,C",train,-53.227066,-47.900284
32,1d0a8376-027f-4851-ad21-2a8f020d0471,"On August 15, 2021, the Taliban seized the presidential palace in Kabul and declared the war over.",US troops began withdrawing from Afghanistan in early July.,US troops began withdrawing from Afghanistan in early July.,U.S. troops left Bagram Airfield.,"Al-Qaeda terrorists attacked the US on September 11, 2001.","A,B,C",train,-85.27447,81.58893
25,06e0f863-e52a-4f7a-a0dd-4b9e90744b1a,"130 people were arrested across France, including 42 in Paris.","On November 24, 2018, ""yellow vest"" protestors blocked the Champs Elysées in Paris, leading to confrontations.","The ""yellow vests"" movement caused roadblocks across France.","The Macron government announced an increase in gas taxes effective January 1, 2019.","On November 24, 2018, ""yellow vest"" protestors blocked the Champs Elysées in Paris, leading to confrontations.","A,B,D",train,-33.801422,-28.969645
35,faaebadc-7ad1-43b5-82d1-540d18243b8c,Investors and depositors withdrew billions from Credit Suisse.,Saudi National Bank stated it would not increase funding to Credit Suisse.,Credit Suisse customers withdrew over $133 billion in 2022.,Credit Suisse shares plunged to a record low after Saudi National Bank stated it would not invest more money.,Credit Suisse shares plunged to a record low after Saudi National Bank stated it would not invest more money.,"A,C,D",train,87.67474,-52.642685
25,8c90831b-d8d0-44ac-aea4-675258c28df8,Prime Minister Edouard Philippe announced nearly 500 million euros in aid for low-income motorists.,"The Macron government announced an increase in gas taxes effective January 1, 2019.","On November 17, 2018, approximately 288,000 ""yellow vest"" protestors participated in a national blockade across France.","On November 17, 2018, approximately 288,000 ""yellow vest"" protestors participated in a national blockade across France.","The ""yellow vests"" movement caused roadblocks across France.","B,C,D",train,40.06225,-22.01588
24,1ab70d12-2f9e-49cf-a65c-7ea8028a2903,At least 153 people were killed and dozens injured.,Emergency workers and pedestrians performed CPR on victims in the streets on Saturday night.,"Tens of thousands of people gathered in Itaewon, Seoul, to celebrate Halloween on Saturday night.","Tens of thousands of people gathered in Itaewon, Seoul, to celebrate Halloween on Saturday night.",Kim and her friend entered the alley at 8 p.m. and became trapped as the crowd density increased.,"B,C",train,-44.576313,-43.48247
21,eb7b4150-cfe8-4fce-94f8-f0afb3a352e2,International leaders and organizations condemned the military takeover in Myanmar.,"Myanmar’s military seized power on February 1, beginning a coup.",The army announced power was handed to commander-in-chief Min Aung Hlaing and declared a national state of emergency for one year.,China’s foreign minister Wang Yi visited Myanmar less than three weeks before the military coup.,The military detained Aung San Suu Kyi and other top government figures.,"A,B,D",train,-64.89877,-48.996937
30,abb38c3c-3a9b-4c62-b82a-ea1a1460a50f,"Widespread protests erupted across the nation, including at Lafayette Square in Washington, D.C.",Video of George Floyd’s last moments circulated in May.,"George Floyd died on May 25, 2020, in Minneapolis under the knee of a White police officer.","Derek Chauvin keeps his knee on George Floyd's neck for over eight minutes, including after Floyd becomes unconscious, until EMTs intervene.","Officials in Hennepin County ruled Floyd’s death a homicide on June 1, 2020.","A,B,C",train,-22.678667,-6.91176
20,427de746-de57-4d57-802e-9181b215553a,Prime Minister Hassan Diab and his government resigned following the explosion.,"The explosion destroyed medicines, vaccines, personal protective equipment, and damaged primary health care centers, hospitals, warehouses, and a grain silo.","Thousands of volunteers from Lebanon and its diaspora cleared rubble, offered accommodation, and repaired homes in affected areas after the explosion.","A colossal explosion occurred at the Port of Beirut on August 4, killing at least 200 people and injuring around 5,000.",The Cabinet ordered those involved in storing the ammonium nitrate at the port to be placed under house arrest.,"A,C",train,-14.058237,78.138054
25,dc635327-c534-4322-8272-eecc4c443f17,Police used tear gas and water cannons to disperse protesters in Paris.,"227 people were injured in the protests, with six severely.",A protester was accidentally run over and killed by a car near Lyon during demonstrations.,73 people were taken into police custody during the protests.,"On November 24, 2018, ""yellow vest"" protestors blocked the Champs Elysées in Paris, leading to confrontations.",D,train,-37.81522,-17.757395
12,c4878e8e-d037-4bc4-940a-d0ab66144522,"Huawei stated it will first lay the foundation for operating systems in the Chinese market, then expand overseas.","Google, Intel, and other U.S. companies suspended business with Huawei.",Huawei announced HarmonyOS will be open source.,Huawei denied the U.S. government's accusations and pursued legal means.,HarmonyOS development began in 2017.,A,train,113.7297,3.8064964
22,4e10490a-aff5-45dc-9b7e-a74a2dfa6b4c,A U.S. drone strike killed Iranian Maj. Gen. Qassem Soleimani and Abu Mahdi al-Muhandis after Muhandis picked up Soleimani from an airplane.,"In 2007, U.S. commandos observed a convoy carrying Gen. Qassem Soleimani in northern Iraq.",President Donald Trump withdrew the U.S. from the nuclear accord after taking office.,"During the 1980s Iran-Iraq War, Muhandis fought on the side of Iran.",US President Donald Trump ordered the assassination of Iranian General Qassem Soleimani.,D,train,-39.035145,95.91753
15,892abca8-47a4-42c1-8483-5d3b5b8858b7,ChatGPT quickly reached one million daily active users.,OpenAI trained InstructGPT to produce less toxic text.,"OpenAI launched the DALL-E 2 beta on July 20, 2022.",Schulman and colleagues used these scores in a reinforcement learning algorithm.,None of the others are correct causes.,D,train,83.19678,43.954617
20,41684b9e-78d7-4c1f-86b2-1123616d2c1c,"On July 28-29, 2021, the Beirut and Tripoli Bar Associations approved Bitar’s requests to prosecute Khalil, Zeaiter, and Fenianos.",Lebanon declared a two-week state of emergency in Beirut following the blast.,"The explosion destroyed medicines, vaccines, personal protective equipment, and damaged primary health care centers, hospitals, warehouses, and a grain silo.","On July 2, 2021, Judge Bitar requested parliament lift immunity for former ministers Khalil, Zeaiter, and Nohad Machnouk, and sought permission from bar associations to prosecute Khalil, Zeaiter, and Fenianos.","The Rhosus sank on February 18, 2018.",C,train,-5.4632773,96.468956
27,4bc62a81-1cd5-4d7a-961d-655218e5f946,The Conservative Party announced it would hold a leadership election within the next week.,Liz Truss became UK Prime Minister on September 5.,Liz Truss announced her resignation as Prime Minister on October 20.,The Bank of England intervened on September 28 by announcing a temporary purchase of £65 billion worth of long-dated UK government bonds.,Boris Johnson resigned on July 7.,B,train,18.861776,7.609825
23,2167d59f-355b-434c-aceb-f84044ad9784,The IAEA will maintain an on-site presence for the duration of the release.,"Protesters rallied in Tokyo on August 24, 2023, against the Japanese government’s plan to release treated wastewater from the Fukushima-Daiichi power plant.",Japan announced its plan to release treated Fukushima wastewater into the sea.,Japan announced its plan to release treated Fukushima wastewater into the sea.,South Korea banned seafood imports from the Fukushima area.,"B,C",train,60.17602,28.942778
28,f98f0e5d-403d-4314-b219-4ae9a7f0c9e8,General Sergei Surovikin was detained on charges of prior knowledge of the uprising.,Russian military helicopters opened fire on the Wagner convoy.,"The Russian Defense Ministry ordered all mercenary groups, including Wagner, to report to central military command by July 1.",Belarusian President Alexander Lukashenko brokered a deal for Prigozhin to leave Russia.,Prigozhin declared an armed rebellion.,D,train,-75.60966,32.68813
10,0bd585f5-c888-43f3-93ac-8aa4421f0860,Trump imposed auto tariffs last week.,None of the others are correct causes.,President Trump announced a plan to impose additional 25% tariffs on Canadian steel and aluminum imports.,President Trump placed 25% tariffs on imports from Canada.,President Trump reversed his plan to raise tariffs on Canadian steel and aluminum imports.,A,train,32.75122,-42.866676
26,4ff52fea-4533-4353-ae22-ba30a0353d60,Australia's military deployed ships and aircraft to rescue thousands trapped by fires.,Bushfires in New South Wales and Queensland destroyed CO2-absorbing vegetation.,"Bushfire smoke created smog in Sydney, causing air quality to reach 22 times worse than standard levels and causing respiratory problems for residents.","Australia recorded its hottest day ever on Tuesday, with an average temperature of 40.9 degrees Celsius.",Bushfires ignited in Australia in September.,D,train,-78.9744,-85.88415
18,ff986ad6-0afc-434a-ae53-3dffe5d0e537,Trade controls forced Chinese researchers to use freely available tools creatively.,DeepSeek unveiled its V3 model in December and R1 model in January.,The U.S. government limits sales of powerful chips to China.,"DeepSeek released its large language model, DeepSeek-R1, on January 20.","DeepSeek launched its V2 model, which triggered a price war in China's AI industry.",B,train,93.46026,0.924434
20,27c56e68-8f5b-41bd-a8c4-93e965d248cb,"On July 28-29, 2021, the Beirut and Tripoli Bar Associations approved Bitar’s requests to prosecute Khalil, Zeaiter, and Fenianos.","On July 2, 2021, Judge Bitar requested parliament lift immunity for former ministers Khalil, Zeaiter, and Nohad Machnouk, and sought permission from bar associations to prosecute Khalil, Zeaiter, and Fenianos.","A fire broke out at Warehouse 12 at the Port of Beirut on August 4, reportedly started by welding work.","The Rhosus sank on February 18, 2018.",Prime Minister Hassan Diab and his government resigned following the explosion.,A,train,-5.4632773,96.468956
15,036766e4-db6d-4652-97a3-e8521859fe39,"Scientific journals, including Springer Nature and Elsevier, updated author guidelines to prohibit LLMs as authors and require documentation of their use.","OpenAI publicly released ChatGPT as a free research preview on November 30, 2022.","OpenAI released ChatGPT Plus on February 1, 2023, and later introduced GPT-4 Turbo with Vision and GPT-4o to the public.",OpenAI collected examples of good dialogue responses from people to train an initial version of ChatGPT.,"OpenAI released ChatGPT Plus on February 1, 2023, and later introduced GPT-4 Turbo with Vision and GPT-4o to the public.","A,B,D",train,89.89751,14.612678
26,f7ee711f-b22c-4fdc-a4ac-b5741ea60a1d,"The fires destroyed more than 1,400 homes.",Bushfires ignited in Australia in September.,Satellite pictures confirmed smoke from eastern New South Wales fires crossed the Tasman Sea to New Zealand.,The fires killed at least 24 people.,"Australia recorded its hottest day ever on Tuesday, with an average temperature of 40.9 degrees Celsius.","A,D",train,-50.79907,-78.59067
8,4e24881f-2c9e-4410-905f-8a732b17eaaf,The United Nations mobilized help for Myanmar on Friday.,"A M7.7 earthquake struck Myanmar on March 28, 2025, followed by a M6.7 aftershock.",The earthquake caused significant damage and displacement across Myanmar.,"Mandalay General Hospital became full, stopped admitting patients, and lost power and water.",The earthquake caused significant damage and displacement across Myanmar.,"A,B,D",train,-81.95003,-49.208855
27,c9550c3e-7db0-423d-bc28-6e882398c03f,Jeremy Hunt reversed most mini-budget policies three weeks later.,Liz Truss fired Treasury chief Kwasi Kwarteng.,Boris Johnson resigned on July 7.,Queen Elizabeth II died on September 8.,Kwasi Kwarteng announced a mini-budget on September 23.,"A,D",train,30.861862,0.83220273
31,5208c752-c745-4f5c-bfae-30acfcbb2d22,"Women used social media to share sexual harassment experiences in October 2017, leading to the #MeToo movement going viral.","The New York Times published an investigation into Harvey Weinstein's sexual harassment on October 5, 2017.","In 2014, Harvey Weinstein invited Emily Nestor to a hotel.",Harvey Weinstein invited Ashley Judd to a hotel and had her sent to his room.,"In 2015, Harvey Weinstein badgered a female assistant into giving him a massage while he was naked.",A,train,37.143375,79.01161
7,84fba5b4-b937-44da-b6fb-325d84e6695d,Yoon's senior aides and defense minister offered to resign.,Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,Opposition legislators filed an impeachment motion against President Yoon on Wednesday.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,"B,D",train,-20.590534,54.516228
21,bb398c09-1092-4cb5-bb80-9620da932165,"Myanmar’s military seized power on February 1, beginning a coup.","A military spokesperson warned of ""action"" if the dispute wasn't settled and refused to rule out a coup.","The military repeatedly disputed the election results, alleging fraud and calling on the election commission to release polling data.","In November 2020, the NLD won a resounding parliamentary election victory, awarding Aung San Suu Kyi a second term.",China’s foreign minister Wang Yi visited Myanmar less than three weeks before the military coup.,"A,B,C",train,-70.58523,-42.767895
25,cdee46bb-2648-47d6-a441-d9e745fd8011,"130 people were arrested across France, including 42 in Paris.","227 people were injured in the protests, with six severely.","The Macron government announced an increase in gas taxes effective January 1, 2019.",A protester was accidentally run over and killed by a car near Lyon during demonstrations.,"On November 24, 2018, ""yellow vest"" protestors blocked the Champs Elysées in Paris, leading to confrontations.",D,train,-33.801422,-28.969645
19,aa084888-bd50-48f3-a529-c54cef35c956,Over four million customers were without power in Texas.,"ERCOT initiated rolling outages, leaving millions of Texans without power.",Outdoor temperatures plunged to arctic levels.,"San Antonio Mayor Ron Nirenberg and Bexar County Judge Wolff issued a joint declaration urging precautions, travel limits, and energy conservation, activating emergency management plans.",Texas Gov. Greg Abbott issued a disaster declaration in all 254 counties.,"A,B",train,3.9169216,-100.08458
19,3f391f22-ad59-4bb0-a809-18dfc4580d97,President Joe Biden approved a major disaster declaration for Texas.,"A major winter storm hit a large part of the United States on Monday, bringing heavy snow and cold temperatures.","At least 38 people died nationwide from winter storms or frigid conditions, including 15 deaths in Texas.","A major winter storm hit a large part of the United States on Monday, bringing heavy snow and cold temperatures.","On February 11, a 130+ vehicle crash on I-35 in Fort Worth resulted in 6 deaths and over 65 hospitalizations.","A,B,C",train,5.7896347,-18.05835
7,6970131c-b4c8-471e-a286-5c33ff490cd1,"Police, parliament, prosecutors, and the anti-corruption body launched separate investigations into Yoon on treason allegations.",President Yoon Suk Yeol was immediately suspended from exercising his powers.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,South Korea’s parliament voted to impeach President Yoon Suk Yeol.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,B,train,-50.674095,58.491
4,286fc3a2-2324-400e-9e09-cc372d4fefed,Shinzo Abe was pronounced dead at 5:03 p.m.,Shinzo Abe returned to office in 2012 and later became the longest-serving prime minister.,A man fired twice at Shinzo Abe.,A man fired twice at Shinzo Abe.,Shinzo Abe visited Jerusalem in 2018.,"B,C",train,-80.95683,4.7343116
27,d12e8a2d-d400-4cbe-8d26-6f8f945508e0,Liz Truss announced her resignation as Prime Minister on October 20.,Kwasi Kwarteng announced a mini-budget on September 23.,Queen Elizabeth II died on September 8.,Liz Truss became UK Prime Minister on September 5.,Kwasi Kwarteng announced a mini-budget on September 23.,"A,D",train,-2.490054,69.93071
15,d649d16b-059c-4a01-ba56-0a626b94ddef,ChatGPT quickly reached one million daily active users.,Millions of people started using ChatGPT immediately after its launch.,OpenAI made DALL-E 2 available as an API.,"OpenAI launched the DALL-E 2 beta on July 20, 2022.",Schulman and colleagues used these scores in a reinforcement learning algorithm.,A,train,81.06964,46.054077
3,48e9b0d9-498b-432e-bccd-5233068300bc,"Capitol Police Chief Steven Sund, House Sergeant at Arms Paul Irving, and Senate Sergeant at Arms Michael Stenger resigned.","The Capitol was secured, and lawmakers reconvened to continue certification.",Supporters stormed the U.S. Capitol.,"The House and Senate recessed, and the Capitol was locked down.",The FBI and ATF cleared the Capitol.,"A,B,C",train,3.6576061,59.64126
15,12639dc2-556a-4ec8-b9ed-9f952732a27d,ChatGPT quickly reached one million daily active users.,OpenAI made DALL-E 2 available as an API.,Millions of people started using ChatGPT immediately after its launch.,Millions of people started using ChatGPT immediately after its launch.,"OpenAI launched the DALL-E 2 beta on July 20, 2022.","B,C",train,83.19678,43.954617
35,e5897d40-4302-4420-a3fa-cc83505c8860,The chairmen of Credit Suisse and UBS announced a union on March 19th in Bern.,Credit Suisse's board rebuffed the proposal from UBS.,UBS agreed to acquire Credit Suisse for 3 billion Swiss francs.,Credit Suisse shareholders will receive one UBS share for every 22.48 Credit Suisse shares.,The Swiss government ordered Credit Suisse to temporarily suspend bonus payments to staff.,B,train,104.64744,-65.19196
13,9c2d0cd9-cfc5-417c-a63b-69855e4abe5e,Andrew Bosworth announced the retirement of the Oculus name.,"CEO Mark Zuckerberg introduced Meta, a new company brand unifying apps and technologies at Connect 2021.",Facebook announced Andrew Bosworth's promotion to chief technology officer.,"The company plans to report on two operating segments, Family of Apps and Reality Labs, starting Q4 2021.",Facebook changed its corporate name to Meta on October 28 at the company's annual Connect event.,"A,D",train,82.041954,71.13415
19,738211e1-9ce3-48b1-95e7-2163932a3ba1,"At least 38 people died nationwide from winter storms or frigid conditions, including 15 deaths in Texas.","ERCOT officials acknowledged ""pretty frigid temperatures"" were headed to Texas during a board meeting.","Regional power generators spontaneously shut down, including three coal plants and a gas plant in Corpus Christi.",Electric demand for heat across the state soared.,"A major winter storm hit a large part of the United States on Monday, bringing heavy snow and cold temperatures.",D,train,-32.015114,-71.186646
14,bd8180ba-c649-4e3f-822d-64e9eec4ec7a,"On January 20, 2025, President Donald Trump sought to delay enforcement of the 2024 law banning TikTok distribution, intending to work out a divestment deal.",ByteDance stepped up efforts to separate its social media app TikTok from its Chinese operations.,"In July 2024, the U.S. government stated in a legal filing related to TikTok that China could use TikTok’s algorithm to interfere with the U.S. political system.",Kayla Curry received a New York Times alert about a U.S. government national security investigation into TikTok.,"In April 2024, Congress passed a law requiring ByteDance to divest TikTok by early 2025 or face a ban on U.S. app store distribution.",D,train,58.06649,13.887726
1,7e8af878-819c-4f2e-bd69-1a5e1394e5d1,Global markets plunged following the Brexit vote.,The United Kingdom held a referendum on June 23.,Cameron's attempt to renegotiate the U.K.'s EU membership terms failed.,The Conservative Party won the election.,The United Kingdom held a referendum on June 23.,"A,D",train,55.416058,-49.687042
13,bd6e1e17-50b9-4172-a1e9-fe9510f98ea1,Andrew Bosworth announced the retirement of the Oculus name.,Facebook changed its corporate name to Meta on October 28 at the company's annual Connect event.,A whistleblower turned over internal Facebook documents to Congress and the U.S. Securities and Exchange Commission.,Facebook changed its corporate name to Meta on October 28 at the company's annual Connect event.,Mark Zuckerberg announced a smart-glasses partnership with Ray-Ban.,"A,C",train,82.041954,71.13415
20,ae49955c-4d15-41e6-97f2-86756e977835,"On July 2, 2021, Judge Bitar requested parliament lift immunity for former ministers Khalil, Zeaiter, and Nohad Machnouk, and sought permission from bar associations to prosecute Khalil, Zeaiter, and Fenianos.","Thousands of volunteers from Lebanon and its diaspora cleared rubble, offered accommodation, and repaired homes in affected areas after the explosion.",Prime Minister Hassan Diab and his government resigned following the explosion.,"A fire broke out at Warehouse 12 at the Port of Beirut on August 4, reportedly started by welding work.","In February 2021, the Court of Cassation removed Judge Sawan from the case, and Investigative Judge Tarek Bitar replaced him.",D,train,1.549313,98.86025
2,c8c782c1-1eea-4458-a468-14a1ed142294,"The Iranian government issued an intercity travel ban and closed schools, universities, national parks, and non-essential businesses on March 26.",The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,COVID-19 forced countries into lockdown.,"The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.",C,train,-5.8645406,-49.56765
10,c20f296e-706b-42db-909c-61c777296312,President Trump reversed his plan to raise tariffs on Canadian steel and aluminum imports.,"William McKinley was shot by anarchist Leon Czolgosz on Sept. 6, 1901.",None of the others are correct causes.,"William McKinley died on Sept. 14, 1901.",President Trump placed 25% tariffs on imports from Canada.,B,train,24.991455,-41.561832
7,03150cdc-338f-4031-97cb-bbf0049a4741,Opposition legislators filed an impeachment motion against President Yoon on Wednesday.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,Hundreds of soldiers stormed the National Assembly.,Lawmakers at the National Assembly unanimously annulled martial law.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,"B,C,D",train,-37.088318,55.396954
