topic_id,uuid,target_event,option_A,option_B,option_C,option_D,golden_answer,event_word_count,option_A_len,option_B_len,option_C_len,option_D_len,avg_option_len,context_similarity,event_options_similarity,correct_option_similarity
8,41fbf37a-4a8c-4fb4-b947-ddbb301bd24e,"By April 3, 2025, the death toll from the earthquake reached 4,390 in Myanmar, with over 5,490 injured.",The earthquake caused the collapse of the Old Sagaing Bridge and several buildings.,"A M7.7 earthquake struck Myanmar on March 28, 2025, followed by a M6.7 aftershock.",The earthquake caused significant damage and displacement across Myanmar.,"Mandalay General Hospital became full, stopped admitting patients, and lost power and water.","A,B,C",18,13,14,9,13,12.25,0.26680636299697974,0.08468319379260462,
2,dcfa3f99-212b-4503-b384-1f8755fb75b3,"The Iranian government issued an intercity travel ban and closed schools, universities, national parks, and non-essential businesses on March 26.",Chinese authorities identified SARS-CoV-2 as the new coronavirus.,"The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.",COVID-19 forced countries into lockdown.,The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,C,20,8,18,5,18,12.25,0.007947822652772123,0.02474849882187486,0.0
5,8481e5ae-606d-4729-91d8-2a3ca64820eb,"On December 18, Musk ran a Twitter poll asking if he should step down as CEO, with a majority voting yes.",None of the others are correct causes.,The Delaware Chancery Court ordered a Friday deadline for the Twitter acquisition deal to close in early October.,Musk confirmed charging $8/month for Twitter Blue check marks and removed ID verification.,Elon Musk signed a deal to acquire Twitter in April.,A,21,7,18,13,10,12.0,0.17218185349759227,0.05105007679277164,0.0
1,f4d76cea-1b0b-4df1-a6fa-726cb9b07baf,Over three million Brits called for a do-over.,Nicola Sturgeon stated the Scottish government would prepare legislation for a new independence referendum.,Sinn Fein called for a referendum on Irish unity.,Northern Ireland and Scotland voted to remain in the EU.,The UK voted to leave the EU in a June 23 referendum.,D,8,14,9,10,12,11.25,0.0,0.044259470233784015,0.0
8,9d14a051-a1d9-4d3e-ace6-292ec8a6bd91,Authorities in Myanmar and Thailand declared a state of emergency.,"A high-rise under construction collapsed in Bangkok, Thailand, causing casualties.","The earthquake affected Bangkok, Thailand, and tremors were felt in China's Yunnan province.","A M7.7 earthquake struck Myanmar on March 28, 2025, followed by a M6.7 aftershock.","Mandalay General Hospital became full, stopped admitting patients, and lost power and water.","B,C",10,10,13,14,13,12.5,0.11368144837935762,0.06009908306425062,
7,aea5f8a4-e501-4e97-8e3a-45809c481603,Yoon's senior aides and defense minister offered to resign.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,President Yoon Suk Yeol declared martial law on December 3 and sent soldiers to parliament.,Tens of thousands of protesters gathered outside the National Assembly in Seoul.,Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,"A,B,C",9,12,15,12,15,13.5,0.058615513593125286,0.019334404198605118,
3,89cda6f1-ba57-4d79-8873-3f1f26b58848,Five people died during the riots.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,Trump addressed the crowd.,Supporters stormed the U.S. Capitol.,Trump urged supporters to march to the Capitol.,C,6,16,4,5,8,8.25,0.01669211869493508,0.0,0.0
3,b659ff09-d409-4603-a238-ca066225707a,The congressional certification of Joe Biden’s victory was halted.,A woman was shot inside the Capitol and died.,"Trump supporters protested in Washington, D.C.",Trump urged supporters to march to the Capitol.,Trump addressed the crowd.,"B,C",9,9,6,8,4,6.75,0.05281124394736155,0.0,
2,31b0fa64-add2-4fe3-884e-3ba5101586ec,"Lockdowns obstructed agricultural flow, resulting in hiked food prices, food shortages, malnutrition, and deaths.",The coronavirus pandemic halted the global economy.,None of the others are correct causes.,Clinical trials began to test potential treatments and vaccines for COVID-19.,COVID-19 triggered a financial-market meltdown.,B,14,7,7,11,5,7.5,0.0,0.0,0.0
5,456b7e57-1c5f-4c70-a393-3fc7b822dc15,Musk laid off thousands of Twitter employees and contractors.,Elon Musk completed his $44 billion takeover of Twitter.,Twitter sued Elon Musk to force the acquisition.,Musk fired top Twitter executives.,Elon Musk changed his profile to ‘Chief Twit’.,A,9,9,8,5,8,7.5,0.22243183578626308,0.11287066574557512,0.11429921890888295
4,90877484-1f9d-4487-a9fa-e29f2e4a2229,"Security arrested the suspected gunman, Tetsuya Yamagami.",None of the others are correct causes.,Shinzo Abe returned to office in 2012 and later became the longest-serving prime minister.,Shinzo Abe reinterpreted Japan's constitution in 2014.,Shinzo Abe became the youngest prime minister in postwar Japan in 2006.,A,7,7,14,7,12,10.0,0.012150671783096374,0.0,0.0
10,c15348cc-edfe-40ff-95f4-352442c53e15,"President Trump announced a new tariff system on Wednesday, substituting America's longstanding import tax system.",None of the others are correct causes.,Premier Ford paused Ontario's electricity surcharge.,President Trump reversed his plan to raise tariffs on Canadian steel and aluminum imports.,Trump imposed auto tariffs last week.,A,15,7,6,14,6,8.25,0.21213155916538842,0.04666423504972397,0.0
10,4de1b4d4-85e1-405f-ad03-3a80d9f537e1,The US Senate will likely vote on Wednesday on a bill to halt Trump’s tariffs on Canadian imports.,"Delta Air Lines, Southwest Airlines, and American Airlines lowered their Q1 projections.",Trump previously applied a 25% tariff on many exports from Canada and Mexico.,Trump and Canadian Prime Minister Mark Carney had a call last week.,The S&P 500 fell below its 200-day moving average on Monday.,B,18,12,13,12,11,12.0,0.353572056391449,0.053541530440943855,0.057744906270811594
1,5203c4c2-3556-4363-aff3-89975570270d,David Cameron announced his resignation as Prime Minister.,The UK voted to leave the EU in a June 23 referendum.,The referendum date was set in February.,Northern Ireland and Scotland voted to remain in the EU.,The Conservative Party won the election.,A,8,12,7,10,6,8.75,0.10291303044959747,0.0,0.0
3,7a4df7bb-d7bc-4a2d-a630-237eba579cd1,"Capitol Police Chief Steven Sund, House Sergeant at Arms Paul Irving, and Senate Sergeant at Arms Michael Stenger resigned.","The Capitol was secured, and lawmakers reconvened to continue certification.",The congressional certification of Joe Biden’s victory was halted.,Congress confirmed Biden as president in the early hours of January 7th.,The FBI and ATF cleared the Capitol.,A,19,10,9,12,7,9.5,0.09228487242777345,0.024950981710118426,0.04503723263897079
7,c2a7eba9-dae1-443e-8fe8-5ad4d544d5d5,Lawmakers voted down the martial law decree.,Hundreds of soldiers stormed the National Assembly.,Hundreds of soldiers stormed the National Assembly.,Yoon's senior aides and defense minister offered to resign.,Baek Jae Gil performed his protest anthem for thousands outside the National Assembly in Seoul.,"A,B",7,7,7,9,15,9.5,0.1282016971785539,0.0,
2,e352ae30-a0b7-46b6-98ac-e84558fcafab,"The Iranian government issued an intercity travel ban and closed schools, universities, national parks, and non-essential businesses on March 26.",The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,COVID-19 forced countries into lockdown.,"The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.",C,20,20,18,5,18,15.25,0.007947822652772123,0.0773317776414899,0.0
1,27b8502e-f0a7-4f33-a1ff-9d154d7a9ca6,Global markets plunged following the Brexit vote.,The nation divided into 'remain' and 'leave' camps.,The UK voted to leave the EU in a June 23 referendum.,The United Kingdom held a referendum on June 23.,The Conservative Party won the election.,"B,C",7,8,12,9,6,8.75,0.08367576777612448,0.0,
3,84cdadc1-4a56-45ef-8f28-3fcba68456e5,The FBI and ATF cleared the Capitol.,"Trump supporters protested in Washington, D.C.",Trump addressed the crowd.,Trump urged supporters to march to the Capitol.,Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters.,A,7,6,4,8,16,8.5,0.15157944382397978,0.04397728595664007,0.0
9,4cb41643-cb9c-482e-8a7d-fda38b41ab2b,Musk allies took top positions in federal agencies.,DOGE representatives spoke with staff at over a dozen federal agencies.,Elon Musk and Vivek Ramaswamy increased hiring for DOGE.,Mr. Musk stated DOGE participants will not be paid and requested they work 80-hour weeks.,Trump appointed Elon Musk and Vivek Ramaswamy as co-leaders of the Department of Government Efficiency (DOGE).,D,8,11,9,15,16,12.75,0.18451098740812855,0.10561147426837549,0.050394984047545825
2,ba2c6037-cc57-4c8b-9e82-b3d9b3a91d94,"The Iranian government issued an intercity travel ban and closed schools, universities, national parks, and non-essential businesses on March 26.","The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.",COVID-19 forced countries into lockdown.,The U.S. government mandated port and border closures and authorized immediate repatriation of asylum seekers on March 21.,"The World Health Organization (WHO) officially declared the situation a pandemic on March 11, 2020.","B,D",20,18,5,18,15,14.0,0.007947822652772123,0.03061889625771609,
4,492aa0a8-e09e-4a1e-a187-3e2c59d95ae9,Shinzo Abe was pronounced dead at 5:03 p.m.,A man fired twice at Shinzo Abe.,Former Japanese Prime Minister Shinzo Abe was assassinated at a campaign rally.,Shinzo Abe became the youngest prime minister in postwar Japan in 2006.,Shinzo Abe coined the phrase 'a free and open Indo-Pacific'.,"A,B",8,7,12,12,10,10.25,0.28027467423028635,0.10783472894204686,
10,ebd25334-42ac-441a-9086-8723a7b477e6,The tariff announcement triggered a global meltdown in stock markets.,Trump previously applied a 25% tariff on many exports from Canada and Mexico.,Tariffs on imported steel and aluminum are in effect.,"President Trump announced a new tariff system on Wednesday, substituting America's longstanding import tax system.","William McKinley was shot by anarchist Leon Czolgosz on Sept. 6, 1901.",C,10,13,9,15,12,12.25,0.05853783689680478,0.030466297300013774,0.05557730365780748
3,0efa357a-a480-49de-97d3-3a9878ec4ca4,"Capitol Police Chief Steven Sund, House Sergeant at Arms Paul Irving, and Senate Sergeant at Arms Michael Stenger resigned.",The congressional certification of Joe Biden’s victory was halted.,"The Capitol was secured, and lawmakers reconvened to continue certification.","The House and Senate recessed, and the Capitol was locked down.",Trump addressed the crowd.,"B,C",19,9,10,11,4,8.5,0.09228487242777345,0.06364935557479319,
2,3564fd3d-b318-47cb-81d3-75d2d5957ad2,"Lockdowns obstructed agricultural flow, resulting in hiked food prices, food shortages, malnutrition, and deaths.",The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,COVID-19 forced countries into lockdown.,The Italian government called in the military to enforce its lockdown and ordered non-essential businesses to close by March 22.,"The WHO was notified of a cluster of unusual pneumonia cases in Wuhan City, China on Dec. 31.","A,B,C",14,20,5,20,18,15.75,0.0,0.0,
4,a92042de-bd49-4fa7-bd3e-5cca2fb1b19c,"Security arrested the suspected gunman, Tetsuya Yamagami.",Shinzo Abe visited Jerusalem in 2018.,Former Japanese Prime Minister Shinzo Abe was assassinated at a campaign rally.,Shinzo Abe coined the phrase 'a free and open Indo-Pacific'.,Shinzo Abe became the deputy chief cabinet secretary in the early 2000s.,B,7,6,12,10,12,10.0,0.012150671783096374,0.0,0.0
8,7bfb5ecb-4ccd-4189-82a0-88aa88bd8180,Myanmar's ruling junta chief reported at least 144 people killed and over 732 injured.,"The earthquake affected Bangkok, Thailand, and tremors were felt in China's Yunnan province.","Mandalay General Hospital became full, stopped admitting patients, and lost power and water.","A high-rise under construction collapsed in Bangkok, Thailand, causing casualties.",The earthquake caused significant damage and displacement across Myanmar.,D,14,13,13,10,9,11.25,0.11779317876373582,0.022749285015026377,0.09099714006010551
5,e1c15d27-c610-4c65-8e50-e3646284d65a,"On December 20, Musk confirmed he will step down as CEO upon finding a replacement and will manage software/servers teams.",Elon Musk entered Twitter headquarters.,The Delaware Chancery Court ordered a Friday deadline for the Twitter acquisition deal to close in early October.,General Motors announced it would suspend its advertising on Twitter.,"On December 18, Musk ran a Twitter poll asking if he should step down as CEO, with a majority voting yes.",D,20,5,18,10,21,13.5,0.0831403733615005,0.07762396038094278,0.23883242313759412
3,6d8aaa14-a3e5-4a1b-9e95-d60f790596cb,"Capitol Police Chief Steven Sund, House Sergeant at Arms Paul Irving, and Senate Sergeant at Arms Michael Stenger resigned.",Trump addressed the crowd.,Protesters clashed with police and breached security barriers at the Capitol.,"The D.C. National Guard was activated, and a citywide curfew was imposed.",The FBI and ATF cleared the Capitol.,B,19,4,11,12,7,8.5,0.09228487242777345,0.03928175773465728,0.10186211230819456
9,d2d5c55b-8153-4547-86f8-49d1b4c265ea,David Lebryk departed his position at the Treasury Department.,Elon Musk and Vivek Ramaswamy increased hiring for DOGE.,Trump appointed Elon Musk and Vivek Ramaswamy as co-leaders of the Department of Government Efficiency (DOGE).,Mr. Trump stated DOGE's purpose is to advise on cutting wasteful spending.,Elon Musk contributed $277 million to Trump's and other Republicans' 2024 campaigns.,B,9,9,16,12,12,12.25,0.01400219859131867,0.024594858195565162,0.09837943278226065
